epoch,train_loss,val_loss
0,1.35007995040957,1.2850835197451065
1,0.7193929087688499,0.6298533917601941
2,0.4584714976839827,0.35093712566619306
3,0.33635180240306245,0.26171114716513255
4,0.24145046428904324,0.2347220394542976
5,0.18629788808730283,0.23237601200905475
6,0.17419069190364986,0.252897464538037
7,0.18426534858452404,0.2707859876639693
8,0.1833960057556435,0.26086812752111815
9,0.16872226253795883,0.2379260315060372
10,0.15292741677688218,0.2120614710483534
11,0.1396642061191881,0.1918318905161164
12,0.1298455898521711,0.17600237104073335
13,0.12114515318432272,0.16867096574987972
14,0.11520965233507485,0.17210253329237032
15,0.11179464601738197,0.17829802096375916
16,0.1071121957692623,0.1726613022161572
17,0.10106334790579673,0.16268093961500985
18,0.09537678891240742,0.1541463040371869
19,0.09075358259337463,0.15058084347209374
20,0.08533479002852111,0.14971963297646515
21,0.08039195903375927,0.14952613859431876
22,0.07637569781502408,0.1497266224019523
23,0.07273235817226247,0.1524187756726647
24,0.06868571253570908,0.14740054073895384
25,0.06460085564047852,0.1324377319257097
26,0.061388833903700445,0.12503143291648833
27,0.05805485301085846,0.12318109545084015
28,0.05501237790301224,0.12636278327416467
29,0.052511367306388036,0.13025467683564515
30,0.050003470257154035,0.12445583277252202
31,0.04747215319471241,0.12177611710364063
32,0.04522311920319507,0.11632179253611481
33,0.04373505129914349,0.10980114842506349
34,0.04174394733656136,0.11554549430107064
35,0.03986588544833606,0.11246684762994104
36,0.03846689290704423,0.11307998437399569
37,0.037307163119406815,0.11416526426364641
38,0.036088761076591536,0.10369254731065684
39,0.03479137267400661,0.10502158506370125
40,0.033903533709890014,0.1054004441283825
41,0.032862116764416985,0.10370065013806758
42,0.03218682519162402,0.10352341287827392
43,0.03132673151615278,0.10250495982879536
44,0.030595941146169564,0.0999872863647976
45,0.029929586597985346,0.09741831419879014
46,0.02940829317211086,0.10078905549811469
47,0.0287608869121658,0.09790820905727897
48,0.028247441659292685,0.09330935485485249
49,0.027752442156952894,0.09198305748342815
50,0.027240856684606712,0.09458018654668089
51,0.02694005974076666,0.09672250177192039
52,0.026582642259426775,0.0871454827718598
53,0.026171793884245464,0.08553061736958707
54,0.02550052364082353,0.08816534961220239
55,0.025586713376547016,0.09243600330972057
56,0.025030236006523997,0.09006883270166756
57,0.024625724742459127,0.08300719481799744
58,0.024640535160067572,0.08006045885070605
59,0.023578446797158228,0.08298037544928975
60,0.02355406691217485,0.08454226470896149
61,0.023139813975786256,0.08590078133508777
62,0.022561000983801694,0.07712047748163622
63,0.02233229114293091,0.0752854086060641
64,0.0217615180386492,0.0782635918486914
65,0.02152261832065346,0.07420234823362602
66,0.021188218849325886,0.07757646738035194
67,0.020766786423487702,0.07500926637699688
68,0.02049242876933859,0.07309676481241743
69,0.020320154251064617,0.07022465030569501
70,0.019980070438866283,0.0717734840794449
71,0.019599623689326454,0.07260440983353207
72,0.019392472460974974,0.06968092797542651
73,0.01904549057735773,0.06935035338658906
74,0.018753546440238557,0.06653366764892389
75,0.01854237885372935,0.06451866715288006
76,0.018400700213024118,0.06965910419714556
77,0.01802900116855886,0.06713736539778122
78,0.017973468723539155,0.06155852436811323
79,0.017588818352997786,0.06600004939261937
80,0.017272109026902103,0.06391029022217459
81,0.016958194488194814,0.06280863544412386
82,0.016891416115560536,0.06353391757851783
83,0.016511895261842952,0.06182996389219205
84,0.016330583247212278,0.06088636123815331
85,0.01614542462745291,0.05999811200562874
86,0.015889983026344326,0.06024796769668695
87,0.01576384491108659,0.0592446900429105
88,0.015538689086431781,0.060264285984767
89,0.015256227329170492,0.05694077202913667
90,0.015094984350980613,0.057230645873211396
91,0.014860834221649253,0.05650775314779886
92,0.014686841010678483,0.056725512192841915
93,0.014584079682666508,0.056928538166470956
94,0.014374433005004975,0.05714153806148083
95,0.014183694049000564,0.05478399003828243
96,0.014107196101500458,0.05379650635406189
97,0.013843297474390538,0.0540223736685806
98,0.013725601264310333,0.05429399843027138
99,0.013668661903377012,0.05595876773383651
100,0.013726484237569544,0.05327846042365145
101,0.013271170790108791,0.05217844054396562
102,0.013416812546858189,0.051518719706978
103,0.013056954251943809,0.05125430269320331
104,0.013040656382432986,0.05384693175916062
105,0.012875045066793123,0.05075133730210942
106,0.012621999627871102,0.05016628759888178
107,0.012825447235084437,0.0488534807875608
108,0.012346813543756767,0.05078390685543821
109,0.012502008736428866,0.050515991721833874
110,0.012162657771395037,0.04786046546009496
111,0.012113827090387427,0.04791259410253144
112,0.01188837250512592,0.04909742524243659
113,0.01203006209961835,0.050871201986269876
114,0.011898586558145121,0.04511658559933551
115,0.011918993603634902,0.04543731503373396
116,0.011476534772483322,0.04691641271613715
117,0.011675746021112578,0.04869230238722378
118,0.011341683475641268,0.04598334296792603
119,0.011266646707947066,0.04579820135040951
120,0.011306506771395995,0.04407055397213159
121,0.011179845948434563,0.04663095684457625
122,0.01099726642244772,0.04609421477460676
123,0.010967832466021078,0.043969611763956716
124,0.010926045386407748,0.04439584856230926
125,0.010807171161200488,0.0438055395101001
126,0.010673563090197057,0.04274424739895779
127,0.010719398551976367,0.043323205123033004
128,0.010670772743444927,0.04160706077623771
129,0.010510853614932895,0.04417700978026432
130,0.010376975332817165,0.04271697091384735
131,0.010417271420894986,0.0429149184535021
132,0.010441706983509423,0.04059277451148304
133,0.010362917567018154,0.044679895660064105
134,0.010410521645430581,0.042979903483062
135,0.010250265645644588,0.04242206113881117
136,0.010119106316722906,0.03940135932525961
137,0.010060851389918276,0.041569716573566874
138,0.0099445741058226,0.04244977712269398
139,0.009977603814671816,0.04095863063116429
140,0.0098752075593924,0.041136202706432735
141,0.009839278095982375,0.04029809057544142
142,0.009744964408335813,0.04023897982191057
143,0.009705119467970888,0.040151246525763316
144,0.009634398572622688,0.04104492080671737
145,0.009616652780129107,0.04070079135557889
146,0.009581848489122784,0.040707199643575644
147,0.00961056649469492,0.03903043827971972
148,0.00957845597765658,0.039463899136011546
149,0.009500826389319648,0.04132513144081661
150,0.009439635259143738,0.04100636517036654
151,0.009494512810765875,0.04043551492180677
152,0.009420678971576921,0.03895897393079536
153,0.00945180221768522,0.04087913944225148
154,0.009329889621032173,0.03978345660139428
155,0.009325078416168349,0.03898547642547071
156,0.009295831589441627,0.03998435626629307
157,0.00940555541444312,0.038691746647405455
158,0.009238053905318523,0.039747525272975454
159,0.009150865726338787,0.03885439862099392
160,0.009139505000601825,0.03983670213298269
161,0.009104059996264981,0.03820160217834333
162,0.009028716115770385,0.03899595571590716
163,0.009101029806805817,0.03905345320867426
164,0.009010869910849442,0.0402296744028141
165,0.009071471225812191,0.040667320170599874
166,0.008888893769230646,0.04014575209033138
